,Australia,Austria,Bahrain,Belgium,Brazil,China,France,Germany,Hungary,Italy,Malaysia,Mexico,Monaco,Netherlands,Portugal,Russia,Singapore,Spain,UK,USA
0,520.2340660579212,453.02062550905976,520.6541400362621,413.4126998116262,400.6201353949437,427.83558206353337,593.258668276394,440.2280589264992,592.6585495618347,364.4028999574075,409.431904068304,604.8809926008107,431.0162223604566,215.3830927662493,251.60033487153123,643.2686753292801,496.2392614672426,277.7955754150753,624.6649537220364,384.6169423176907
1,456.42130433543934,494.4289063818578,467.2434620004788,368.203656294907,245.7891698740132,334.2168622612371,527.6455484518665,501.2402617349872,558.0516277014976,491.8283867480641,171.5843297240499,699.0998368047003,438.6177416043647,455.2310618253832,406.83137786309817,523.4447079476959,389.4178988749627,511.6423428085691,555.2510676229722,282.99661613375065
2,530.4361071645981,503.0306232708099,482.84658210593625,272.9846127271303,164.5729319236998,338.0176222403534,518.8437881382706,498.4397021867044,513.8427858006617,268.7837761453993,334.41690285268123,760.1999975055223,470.0240235472447,381.01621785233147,132.1764491565118,464.6329464824812,470.23406480424455,496.0392241939553,657.271470414591,395.4191018466954
3,558.0416259817721,465.0230262021069,536.2572604671004,312.39249405660667,397.0194210628397,411.83237745112274,538.6477480043541,454.6309406990768,620.2640719368937,433.4167026524665,375.8251812909148,777.499999208987,584.246868364251,483.83678030915326,449.6399427599681,654.6709548870567,358.21165447306703,443.828776895476,479.8359845096711,264.7929779087426
4,455.0210229930526,413.0126195664052,581.4663077739242,321.39429617792484,504.24086403497495,292.00841841695365,603.6607520105608,424.2248606025824,521.244263428176,487.8275847986224,296.4092999936838,719.0000001420267,541.8383857595327,373.61473785038106,378.225659194577,81.5563285824901,468.03362489762367,439.22786025275127,631.6663524006726,486.8373839169508
5,609.4519102781778,548.4397095461609,425.03502124839,415.8131779834512,429.22585931493086,386.42730152298464,547.8495898815163,513.0426250127202,603.0606311000593,579.0458315662981,404.4309015571489,679.8959964585665,452.82058308049454,428.0256208667997,480.4461006958736,588.6577498097904,309.4018962018017,476.8353801461344,644.8689936754236,439.027824215329
6,303.59073542355327,507.4315051572921,577.8655800806882,386.407298191858,322.6045384237659,325.0150225546968,608.6617519117717,521.0442230229382,531.8463867534883,485.2270649005659,429.03582220419776,780.1999992010242,479.6259450589423,424.4249014419329,386.0272198830498,460.43210640049074,404.0208187259559,508.24166544896434,639.0678328685171,415.4231019918807
7,551.2402677756909,487.0274278029683,518.853781053389,398.2096601994999,359.01181547515444,373.62474004694377,538.2476709566836,455.0310200790409,674.8749937370303,530.6361490805866,163.18264898777124,767.100000030041,478.0256231538661,412.8225781492365,350.8201797089714,312.20245919568697,178.77577158031636,537.8475847368245,469.0338230681664,-189.89796250438667
8,563.0426272109034,389.0078191816574,181.58633031669888,386.4072973949078,426.6253372969513,251.60033530314104,333.806779233244,477.0354240084416,670.2740764968039,436.21726369086537,234.79697499392205,796.9000022165419,585.0470303051115,373.814781547524,356.02121750087827,369.0138211639424,469.43390397325857,405.4211013292079,645.8691917506221,280.7961759688624
9,519.4339061811334,206.37129246094264,370.02401934657246,370.40409786300734,404.6209380343207,432.4365041873825,632.4665143861785,472.2344599355711,587.6575506341469,556.2412697180989,464.24286140000913,680.0960367922671,434.41690464515705,473.6347362225061,369.82397729798686,-193.0986026930332,582.2564682553057,421.82437758517335,487.4375075257558,346.40930113143986
0,516.6333458346489,571.6443496314168,600.870185258711,165.7631691500428,380.0160141199594,470.644142006553,682.2764756634715,468.8337803244358,621.2642726656923,471.0242241673113,416.6333423929464,771.5999989568954,411.212262978137,535.0470182766439,347.81957532887463,595.059030654229,529.6459438393358,655.0710341237427,460.8321851586225,-195.2990426773904
1,557.4415067136288,502.4305058394675,384.2268530485162,518.4337055404903,510.44209543589386,486.6473374572524,135.16705155867385,413.2226602283481,694.2788749995234,467.2234653189662,475.04502348648384,461.0522310594679,364.8029801465164,482.6365372992877,511.2522612325556,662.4725163459661,591.2582652407291,656.871393071604,775.295081608987,-18.063596178864827
2,566.043228179944,515.833187871147,579.0658211673144,525.8351872498752,465.4330990269664,506.8513815961487,624.8649926912913,624.4649095244531,362.2124607689621,489.42790541646536,234.3968947949179,753.4000001601817,574.4449070115807,502.6405412137392,383.8267763688928,344.0088195785647,459.8319810514222,646.6693524812581,601.0602314586286,-94.67891846201384
