,Australia,Austria,Bahrain,Belgium,Brazil,China,France,Germany,Hungary,Italy,Malaysia,Mexico,Monaco,Netherlands,Portugal,Russia,Singapore,Spain,UK,USA
0,420.4140997203358,339.99802033478045,376.0252214577922,404.2108625347028,447.02942135205376,-103.07059808299528,359.4118998152262,236.7873769399885,729.6859587726358,185.5671312081104,158.9818125468737,477.055426759267,377.0054188387876,287.5975365024933,426.0352198590408,399.4199032552133,378.2156611859682,294.39889774867333,144.5689315656782,79.35588896644185
1,615.2530658440955,328.99581727656187,324.4148960140592,164.56293020569137,365.6131361613516,126.57532935214113,329.20586093113525,273.1946559883363,141.36829253009637,228.3756944340712,399.8299776946078,685.2970769760141,108.1516491107468,263.39269422364305,484.8469823486812,268.39369738075766,-132.68651994963875,311.6023401126149,222.18445533065824,219.58393374230943
2,115.15305034790072,239.37789278972195,362.2224554307468,411.6123420516378,164.97301388406777,248.79977470260928,349.40990249687457,439.2278633581882,684.8769988350396,449.8199855093844,234.7969725956209,680.4961183450941,264.1828550363425,398.6197432212357,290.6081365989812,446.82938154114527,288.9978181006445,375.8151848099951,610.4621102325327,51.35028729337501
3,108.95180851517944,564.8429876170994,351.0202197342878,384.6069428828487,2.940604391682428,457.6415380050312,572.8545893758419,307.4014992582088,565.253071896208,211.3722914461977,-11.652317800879246,197.1994563539629,289.58793593369774,192.3784944601066,456.6413365390909,787.6975614455587,375.81518200211576,643.0686361891276,476.6353479129321,82.7565686389571
4,244.178853194142,580.6461532123212,134.37689154938562,484.2268642278796,196.97940929082688,19.153845461667515,371.2142628234869,371.814379948366,207.78157603516595,453.8207855986839,115.77316936376155,691.2982774212724,388.40769880535663,303.00061745915445,369.2238601930149,512.2424666464212,559.2518717971689,448.2296650712378,475.63514820236014,717.4835188326251
5,383.4066982681397,440.01802055188455,289.20785713242367,479.8259867990855,-47.8695573702571,313.01261245901696,653.2706755695108,378.41570143870194,168.3736943185213,207.7715735944512,159.78197294520214,673.894801177812,389.0078178824915,223.38469459064072,369.62394343686174,536.647347455204,180.9762125951529,326.20525840466144,146.16925062859082,570.4541116140026
6,689.8679888352635,489.0278262364154,444.4389029649028,216.97341335960664,401.4202972444182,128.97581024441752,588.6577534809476,15.343085678148782,579.2558723504189,426.8153818651917,423.0346188683761,246.60933541381385,319.19385740853613,312.20245685600094,182.9866122660169,704.2808744993818,651.4703101999767,370.014024078584,408.42170000373153,64.55292976793135
7,373.0046181621437,506.2312640075688,3.9508059541112734,445.4191044981126,484.63694087040494,164.98301259151776,154.77097337244777,272.7945756537083,597.859592270077,336.19725748026394,138.17765049359878,667.6935579508427,-33.876756998419296,148.1696517886885,108.17165257010492,392.81858300813474,405.62114451028174,119.36389177813544,185.77717285900144,263.5927384182578
8,531.6363457513216,152.3604916388285,406.4313010098704,458.0216238965513,449.42990068445215,479.6459393784171,83.55672841070918,537.6475474628096,727.685557590914,425.615142433584,215.993210268236,287.2174622329476,350.20005641007447,204.78097079318832,115.37308953102912,710.2820718685398,292.3984984293347,369.4139036734705,170.7741735309246,42.548528068495216
9,286.5873335545184,610.8521896938328,293.8087761764182,531.8363880502584,500.44010371886543,402.4305003158224,-33.86675636819564,256.5913368105539,103.36068954068467,194.9690120833402,239.7979727891216,299.41989839894813,335.7971763550886,194.5789334110741,115.9732125972514,472.23446482716827,335.4071010708576,317.60353863582714,408.0216264848714,294.5989378928789
0,103.35068824017073,617.4535111442092,215.7931744567759,382.2064623643528,498.4397048408282,-14.852955103182468,477.23546560452087,415.2230641685019,42.54852767684497,296.58933698484907,533.6567419237981,578.8757921643264,368.60373930929927,654.0708348217013,405.8311861976399,660.4721128368401,390.61814260226674,630.6661548735865,494.8389851403481,590.0580286963959
1,662.2624663983588,311.39229638598044,392.228462023224,472.8245852542168,440.0280231654178,134.5769299986132,546.4493075996288,112.1624505678774,392.2184611414559,673.4647071920044,343.2186575034866,267.01341987922206,544.0388275175937,546.0492287518864,661.282273042656,616.663351167168,577.0554287642008,341.40830272383755,622.8645938298723,208.381692591036
2,706.0712310542585,456.421300187445,361.8223804582958,416.2132610164408,259.59193471443723,530.256066377915,612.0624312760483,407.0214240510832,-61.87235797842732,445.4191015327815,502.2504576486244,-24.244835087418323,634.8569868003251,353.81077958617243,325.4151001966966,659.8719926071062,394.4189018328325,574.4549092317466,775.6951573560364,632.4665118231787
3,812.6925552008033,212.7725713153486,261.8023764617101,447.8195835905208,219.38389502215432,275.6051367908367,352.6105381657253,267.7935789922485,555.2510701012507,626.2552716421487,232.5965333635104,657.4915137322678,530.436101802421,356.21126151949284,672.0844316179282,491.2382651209482,564.0528290516522,671.6743523642072,630.666153305734,586.8573898831382
