,Maze,Maze2,Labyrinth,Labyrinth2,SixteenRooms,SixteenRooms2,SmallCorridor,LargeCorridor
0,0.722,0.0,0.855,0.838,0.962,0.932,0.0,0.0
1,0.85,0.0,0.816,0.847,0.964,0.928,0.976,0.0
2,0.847,0.0,0.8180000000000001,0.875,0.961,0.895,0.0,0.0
3,0.725,0.0,0.819,0.84,0.959,0.936,0.954,0.0
4,0.854,0.0,0.866,0.855,0.963,0.953,0.0,0.0
5,0.78,0.0,0.842,0.762,0.964,0.931,0.4519999999999999,0.9270408163265306
6,0.725,0.644,0.854,0.86,0.959,0.93,0.841,0.0
7,0.847,0.0,0.853,0.7969999999999999,0.964,0.924,0.0,0.0
8,0.847,0.0,0.854,0.765,0.955,0.95,0.0,0.9683673469387756
9,0.842,0.0,0.862,0.86,0.964,0.89,0.985,0.0
10,0.844,0.0,0.862,0.8140000000000001,0.959,0.934,0.383,0.9122448979591836
11,0.758,0.0,0.861,0.84,0.959,0.953,0.0,0.0
12,0.847,0.0,0.863,0.813,0.959,0.874,0.944,0.0
13,0.85,0.0,0.857,0.778,0.959,0.949,0.0,0.9357142857142856
14,0.6990000000000001,0.0,0.835,0.858,0.962,0.949,0.0,0.0
15,0.849,0.0,0.84,0.8180000000000001,0.962,0.949,0.0,0.0
16,0.839,0.0,0.821,0.796,0.963,0.932,0.0,0.0
17,0.845,0.0,0.837,0.86,0.962,0.934,0.96,0.0
18,0.724,0.0,0.845,0.7849999999999999,0.962,0.89,0.0,0.0
19,0.718,0.0,0.838,0.744,0.963,0.938,0.0,0.9683673469387756
0,0.848,0.2979999999999999,0.857,0.873,0.963,0.949,0.0,0.2913265306122449
1,0.1699999999999999,0.5439999999999999,0.821,0.874,0.964,0.949,0.0,0.0
2,0.2239999999999999,0.0,0.8119999999999999,0.874,0.934,0.885,0.0,0.0
3,0.74,0.653,0.741,0.865,0.882,0.954,0.916,0.0
4,0.847,0.863,0.857,0.875,0.951,0.95,0.0,0.0
5,0.795,0.612,0.777,0.847,0.931,0.95,0.0,0.0
6,0.849,0.647,0.837,0.873,0.959,0.954,0.0,0.0
7,0.6479999999999999,0.437,0.856,0.873,0.962,0.943,0.0,0.0
8,0.8,0.733,0.856,0.873,0.963,0.886,0.0,0.4423469387755102
9,0.78,0.4959999999999999,0.844,0.867,0.959,0.949,0.0,0.0
10,0.713,0.446,0.856,0.873,0.964,0.953,0.3099999999999999,0.9275510204081632
11,0.847,0.895,0.821,0.876,0.959,0.949,0.0,0.0
12,0.663,0.629,0.855,0.876,0.964,0.89,0.0,0.0
13,0.851,0.782,0.855,0.874,0.962,0.942,0.0,0.0
14,0.851,0.827,0.8180000000000001,0.875,0.948,0.95,0.0,0.0
15,0.742,0.629,0.855,0.876,0.962,0.873,0.0,0.0
16,0.7010000000000001,0.859,0.857,0.875,0.962,0.912,0.0,0.0
17,0.758,0.595,0.854,0.875,0.943,0.862,0.0,0.7525510204081632
18,0.654,0.91,0.854,0.866,0.964,0.95,0.0,0.0
19,0.5189999999999999,0.762,0.8009999999999999,0.874,0.937,0.949,0.0,0.0
0,0.753,0.865,0.829,0.875,0.964,0.9,0.0,0.0
1,0.619,0.732,0.866,0.876,0.955,0.918,0.0,0.0
2,0.614,0.747,0.865,0.876,0.936,0.916,0.0,0.0
3,0.0,0.756,0.865,0.875,0.933,0.88,0.0,0.0
4,0.749,0.911,0.679,0.7010000000000001,0.943,0.932,0.0,0.0
5,0.0,0.8220000000000001,0.864,0.873,0.933,0.935,0.0,0.0
6,0.407,0.837,0.839,0.876,0.938,0.944,0.0,0.0
7,0.0,0.8220000000000001,0.828,0.876,0.937,0.941,0.0,0.0
8,0.894,0.823,0.7090000000000001,0.876,0.938,0.939,0.0,0.0
9,0.409,0.911,0.865,0.852,0.959,0.942,0.967,0.0
10,0.823,0.882,0.865,0.849,0.964,0.917,0.0,0.0
11,0.87,0.897,0.864,0.875,0.962,0.852,0.0,0.0
12,0.0,0.86,0.867,0.876,0.937,0.93,0.0,0.0
13,0.0,0.737,0.866,0.852,0.928,0.8180000000000001,0.0,0.0
14,0.8069999999999999,0.806,0.865,0.875,0.937,0.912,0.908,0.0
15,0.4559999999999999,0.577,0.865,0.874,0.938,0.942,0.0,0.0
16,0.5369999999999999,0.631,0.865,0.876,0.933,0.876,0.0,0.0
17,0.773,0.743,0.867,0.873,0.938,0.944,0.0,0.0
18,0.649,0.911,0.847,0.795,0.938,0.937,0.0,0.0
19,0.315,0.914,0.865,0.855,0.962,0.88,0.0,0.0
