,Maze,Maze2,Labyrinth,Labyrinth2,SixteenRooms,SixteenRooms2,SmallCorridor,LargeCorridor
0,0.0,0,0.869,0.864,0.954,0.952,0.0,0.0
1,0.0,0,0.87,0.865,0.754,0.0,0.0,0.0
2,0.0,0,0.864,0.865,0.942,0.0,0.0,0.0
3,0.763,0,0.866,0.0,0.921,0.0,0.966,0.0
4,0.0,0,0.87,0.859,0.957,0.953,0.2659999999999999,0.0
5,0.0,0,0.872,0.866,0.712,0.953,0.968,0.0
6,0.0,0,0.866,0.866,0.0,0.0,0.0,0.0
7,0.3259999999999999,0,0.869,0.865,0.75,0.0,0.0,0.0
8,0.0,0,0.866,0.865,0.951,0.0,0.0,0.3142857142857143
9,0.0,0,0.87,0.858,0.72,0.952,0.2749999999999999,0.0
10,0.0,0,0.87,0.864,0.0,0.0,0.0,0.0
11,0.0,0,0.871,0.858,0.867,0.953,0.152,0.0
12,0.0,0,0.869,0.859,0.729,0.942,0.418,0.0
13,0.0,0,0.869,0.858,0.441,0.0,0.983,0.0
14,0.0,0,0.869,0.864,0.918,0.0,0.0,0.0
15,0.0,0,0.87,0.1139999999999999,0.952,0.953,0.0,0.0
16,0.0,0,0.869,0.866,0.645,0.952,0.0,0.0
17,0.0,0,0.871,0.858,0.6419999999999999,0.0,0.1779999999999999,0.0
18,0.0,0,0.869,0.865,0.716,0.938,0.979,0.0
19,0.8260000000000001,0,0.87,0.864,0.563,0.0,0.0,0.5841836734693877
0,0.0,0,0.863,0.867,0.961,0.955,0.0,0.4566326530612244
1,0.0,0,0.869,0.866,0.95,0.955,0.497,0.0
2,0.0,0,0.866,0.866,0.95,0.591,0.0,0.971938775510204
3,0.0,0,0.871,0.865,0.964,0.88,0.962,0.0
4,0.0,0,0.863,0.865,0.627,0.954,0.901,0.0
5,0.0,0,0.863,0.865,0.957,0.724,0.951,0.0
6,0.0,0,0.869,0.859,0.963,0.878,0.967,0.0
7,0.0,0,0.85,0.867,0.962,0.955,0.0,0.0
8,0.0,0,0.86,0.867,0.933,0.878,0.0,0.5913265306122448
9,0.0,0,0.87,0.868,0.949,0.851,0.969,0.4897959183673469
10,0.0,0,0.868,0.867,0.964,0.907,0.0,0.8816326530612245
11,0.0,0,0.863,0.858,0.963,0.771,0.6739999999999999,0.0
12,0.0,0,0.869,0.858,0.95,0.8140000000000001,0.0,0.0
13,0.0,0,0.87,0.866,0.962,0.836,0.967,0.0
14,0.0,0,0.861,0.865,0.964,0.884,0.951,0.9505102040816328
15,0.6639999999999999,0,0.869,0.858,0.938,0.677,0.962,0.8
16,0.0,0,0.863,0.865,0.962,0.784,0.0,0.0
17,0.0,0,0.87,0.865,0.949,0.77,0.0,0.8872448979591837
18,0.0,0,0.87,0.86,0.95,0.6739999999999999,0.0,0.0
19,0.4169999999999999,0,0.855,0.852,0.931,0.763,0.775,0.0
0,0.0,0,0.0,0.0,0.4039999999999999,0.728,0.984,0.1637755102040816
1,0.0,0,0.54,0.0,0.619,0.4959999999999999,0.81,0.9877551020408164
2,0.0,0,0.0,0.0,0.402,0.1699999999999999,0.0,0.6127551020408164
3,0.0,0,0.3969999999999999,0.0,0.871,0.894,0.968,0.835204081632653
4,0.0,0,0.362,0.0,0.791,0.2959999999999999,0.948,0.6872448979591836
5,0.0,0,0.0,0.0,0.661,0.5389999999999999,0.875,0.6780612244897959
6,0.0,0,0.0,0.0,0.5720000000000001,0.392,0.829,0.9510204081632652
7,0.4599999999999999,0,0.129,0.0,0.625,0.911,0.981,0.0
8,0.67,0,0.0,0.0,0.81,0.602,0.957,0.0
9,0.0,0,0.0,0.0,0.5569999999999999,0.82,0.641,0.8020408163265306
10,0.0,0,0.0,0.0,0.754,0.895,0.938,0.9566326530612244
11,0.0,0,0.0,0.0,0.8119999999999999,0.2,0.963,0.0
12,0.0,0,0.164,0.0,0.761,0.866,0.0,0.863265306122449
13,0.3899999999999999,0,0.0,0.0,0.738,0.938,0.5760000000000001,0.4336734693877551
14,0.0,0,0.141,0.295,0.943,0.6599999999999999,0.253,0.9887755102040816
15,0.1669999999999999,0,0.511,0.0,0.736,0.886,0.965,0.3617346938775511
16,0.0,0,0.613,0.0,0.897,0.536,0.6719999999999999,0.9739795918367348
17,0.0,0,0.0,0.0,0.81,0.842,0.977,0.9622448979591836
18,0.0,0,0.677,0.1919999999999999,0.5619999999999999,0.637,0.956,0.8744897959183673
19,0.0,0,0.1829999999999999,0.4529999999999999,0.956,0.8,0.881,0.0
